Word,Freq,Rank
drawing,28,473
resolved,28,474
question,28,475
repeated,28,476
future,28,477
feeling,28,478
greatest,28,479
gentleman,28,480
words,28,481
affair,28,482
likely,28,483
considered,27,484
Cleveland,27,485
talking,27,486
declared,27,487
round,27,488
favour,27,489
daughters,27,490
turned,27,491
bed,27,492
expect,27,493
got,27,494
misery,27,495
suffered,27,496
taste,27,497
handsome,27,498
past,27,499
concern,27,500
exactly,27,501
notice,27,502
hearing,27,503
assured,26,504
best,26,505
truth,26,506
distress,26,507
resolution,26,508
satisfied,26,509
likewise,26,510
Devonshire,26,511
let,26,512
occasion,26,513
large,26,514
state,26,515
low,26,516
acquainted,26,517
money,26,518
produced,26,519
fear,26,520
understand,26,521
allow,25,522
face,25,523
fine,25,524
agreeable,25,525
anything,25,526
event,25,527
latter,25,528
otherwise,25,529
advantage,25,530
pain,25,531
why,25,532
surprised,25,533
Had,25,534
meeting,25,535
favourite,25,536
seems,24,537
late,24,538
Why,24,539
dinner,24,540
fixed,24,541
painful,24,542
taking,24,543
forced,24,544
curiosity,24,545
answered,24,546
Perhaps,24,547
Charlotte,24,548
supposed,24,549
proper,24,550
appear,24,551
thoughts,24,552
ten,24,553
met,24,554
joy,24,555
society,24,556
desire,24,557
delight,24,558
idea,24,559
true,23,560
reached,23,561
sometimes,23,562
men,23,563
immediate,23,564
earnest,23,565
scarcely,23,566
serious,23,567
use,23,568
servant,23,569
afraid,23,570
regret,23,571
cold,23,572
After,23,573
income,23,574
worth,23,575
window,23,576
probably,23,577
formed,23,578
tears,23,579
weeks,23,580
effect,23,581
bear,23,582
smile,23,583
making,23,584
things,23,585
promise,22,586
share,22,587
sitting,22,588
meet,22,589
read,22,590
prevent,22,591
danger,22,592
journey,22,593
plan,22,594
strange,22,595
wrong,22,596
respect,22,597
leaving,22,598
knowing,22,599
Did,22,600
merely,22,601
constant,22,602
connection,22,603
easy,22,604
admiration,22,605
asked,22,606
Park,22,607
arrived,21,608
emotion,21,609
mistaken,21,610
hundred,21,611
Not,21,612
sent,21,613
fond,21,614
chance,21,615
disposed,21,616
avoid,21,617
beauty,21,618
view,21,619
conviction,21,620
exertion,21,621
melancholy,21,622
temper,21,623
looking,21,624
meant,21,625
With,21,626
tried,21,627
address,21,628
equal,21,629
speaking,21,630
consider,20,631
soul,20,632
friendship,20,633
above,20,634
forward,20,635
walk,20,636
eager,20,637
used,20,638
times,20,639
compassion,20,640
loss,20,641
eldest,20,642
lived,20,643
inquiry,20,644
unhappy,20,645
seem,20,646
lost,20,647
smallest,20,648
thus,20,649
delighted,20,650
letters,20,651
enjoyment,20,652
elegance,20,653
weather,19,654
staying,19,655
difference,19,656
eye,19,657
stairs,19,658
among,19,659
tenderness,19,660
required,19,661
difficulty,19,662
age,19,663
hoped,19,664
Middletons,19,665
liberty,19,666
secret,19,667
estate,19,668
companion,19,669
mentioned,19,670
wait,19,671
discourse,19,672
Nothing,19,673
breakfast,19,674
Such,19,675
early,19,676
quiet,19,677
help,19,678
gratitude,18,679
entrance,18,680
sight,18,681
none,18,682
delightful,18,683
necessity,18,684
honour,18,685
Then,18,686
thinking,18,687
air,18,688
style,18,689
alarm,18,690
overcome,18,691
followed,18,692
unable,18,693
pity,18,694
hair,18,695
calm,18,696
relief,18,697
second,18,698
moments,18,699
Allenham,18,700
attended,18,701
Smith,18,702
especially,18,703
become,18,704
capable,18,705
writing,18,706
music,18,707
joined,18,708
praise,18,709
hopes,18,710
thirty,17,711
led,17,712
amiable,17,713
bring,17,714
mine,17,715
pause,17,716
simple,17,717
attempt,17,718
Morton,17,719
allowed,17,720
worse,17,721
Berkeley,17,722
anxiety,17,723
looks,17,724
charming,17,725
warmth,17,726
agitation,17,727
need,17,728
Indeed,17,729
except,17,730
uncle,17,731
became,17,732
ease,17,733
behind,17,734
cousins,17,735
hands,17,736
composure,17,737
remember,17,738
welcome,17,739
spirit,17,740
calmness,17,741
receive,16,742
carried,16,743
write,16,744
laughed,16,745
influence,16,746
opinions,16,747
purpose,16,748
yes,16,749
parties,16,750
declare,16,751
esteem,16,752
girls,16,753
informed,16,754
don,16,755
affliction,16,756
quitted,16,757
relations,16,758
grave,16,759
everything,16,760
aware,16,761
turn,16,762
loved,16,763
rich,16,764
Harley,16,765
Combe,16,766
persuaded,16,767
civility,16,768
Every,16,769
smart,15,770
finding,15,771
ago,15,772
engage,15,773
civil,15,774
Exeter,15,775
importance,15,776
several,15,777
turning,15,778
suspicion,15,779
tea,15,780
form,15,781
lately,15,782
spoken,15,783
suffering,15,784
work,15,785
prevented,15,786
alteration,15,787
afford,15,788
utmost,15,789
expressed,15,790
One,15,791
tomorrow,15,792
itself,15,793
removed,15,794
express,15,795
note,15,796
violent,15,797
fire,15,798
match,15,799
excuse,15,800
highly,15,801
trust,15,802
offer,15,803
unwilling,15,804
prospect,15,805
gained,15,806
pleasant,15,807
twenty,15,808
presence,15,809
cause,15,810
nobody,15,811
observed,15,812
six,15,813
mutual,15,814
increased,15,815
delay,15,816
dreadful,14,817
marrying,14,818
during,14,819
wishing,14,820
politeness,14,821
From,14,822
meaning,14,823
fresh,14,824
understood,14,825
command,14,826
yours,14,827
judged,14,828
duty,14,829
heavy,14,830
mention,14,831
concerned,14,832
eagerly,14,833
proof,14,834
imagine,14,835
assurance,14,836
occurred,14,837
yesterday,14,838
altogether,14,839
cheerful,14,840
Now,14,841
degree,14,842
justice,14,843
drew,14,844
written,14,845
propriety,14,846
assistance,14,847
treated,14,848
knows,14,849
suffer,14,850
amusement,14,851
relation,14,852
won,14,853
reproach,14,854
perceive,14,855
clock,14,856
frequently,14,857
news,14,858
support,14,859
card,14,860
folly,14,861
supported,14,862
creature,14,863
employment,13,864
